id,name,index
gbif_2374013,Thunnus albacares,0
gbif_9694948,Thunnus alalunga,1
gbif_2373980,Thunnus thynnus,2
gbif_2373941,Thunnus maccoyii,3
gbif_2373996,Thunnus obesus,4
gbif_2374191,Katsuwonus pelamis,5
gbif_4286082,Auxis thazard,6
gbif_2397970,Istiophorus,7
gbif_4285896,Istiompax indica,8
gbif_2397866,Makaira,9
gbif_2397850,Xiphias gladius,10
gbif_2369535,Coryphaena,11
gbif_2383313,Cheilinus undulatus,12
gbif_2418052,Carcharhinus longimanus,13
gbif_2418003,Carcharhinus albimarginatus,14
gbif_2418095,Carcharhinus falciformis,15
gbif_2418009,Carcharhinus plumbeus,16
gbif_2418064,Carcharhinus amblyrhynchos,17
gbif_5216248,Isurus oxyrinchus,18
gbif_2417940,Prionace glauca,19
gbif_2419188,Mobula mobular,20
gbif_9241141,Mobula alfredi,21
gbif_10779164,Myliobatis,22
gbif_5220086,Megaptera novaeangliae,23
gbif_2440718,Balaenoptera physalus,24
gbif_2440735,Balaenoptera musculus,25
gbif_2440446,Tursiops,26
gbif_5220060,Stenella longirostris,27
gbif_8324617,Delphinus delphis,28
gbif_8123917,Physeter macrocephalus,29
gbif_2440669,Phocoena phocoena,30
gbif_2440332,Eubalaena australis,31
gbif_2442225,Chelonia mydas,32
gbif_8894817,Caretta caretta,33
gbif_8841716,Eretmochelys imbricata,34
gbif_2481661,Aptenodytes forsteri,35
gbif_5229344,Puffinus pacificus,36
gbif_7673664,Acropora,37
